Artist,Genre,Track,MFCC,Spectral Centroid,Zero-Crossing Rate
Silver Jews,,Random Rules,"[-254.8018035888672, 181.0227813720703, -8.233217239379883, 27.731882095336914, 15.574699401855469, 15.478260040283203, -0.3085551857948303, 4.937160491943359, 5.799009799957275, 2.862230062484741, 2.934952974319458, 2.8851304054260254, -1.691481351852417, 0.5356353521347046, 3.843597173690796, 1.2965511083602905, -5.9048686027526855, -3.1596016883850098, 1.147958755493164, -1.1106960773468018]",1535.2204804282685,0.026047024774883812
Urinals,Rock,Shut Yr Trap,"[-212.17466735839844, 162.6674041748047, -48.663516998291016, 36.42854309082031, -10.932004928588867, 31.33718490600586, -8.501875877380371, 3.3350117206573486, 2.2493839263916016, 3.9781389236450195, -0.462643563747406, 0.4893747866153717, 4.090970993041992, 1.0899624824523926, -1.089726448059082, -4.98386287689209, -1.8851110935211182, -5.198304176330566, -5.071935176849365, -1.3687198162078857]",2349.9045975992985,0.05322171070149109
Steve Wynn,Rock,Death Valley Rain,"[-226.1976776123047, 162.71165466308594, -45.78546142578125, 50.61837387084961, -9.91724967956543, 17.415040969848633, -7.778381824493408, 10.182818412780762, -8.018045425415039, 3.4548370838165283, -0.548253059387207, -4.734668731689453, -6.415770053863525, -4.0569353103637695, -0.8984661102294922, -2.2943034172058105, -4.155515670776367, -2.4678637981414795, 2.420611619949341, -2.1344149112701416]",2405.4947141661482,0.05299712131286267
The Cynics,Garage,Yeah,"[-191.56436157226562, 124.72906494140625, -31.412694931030273, 53.58253479003906, -29.715730667114258, 12.115691184997559, -10.746659278869629, 3.454515218734741, -8.1307373046875, -0.11907859891653061, -7.818692207336426, -2.0671546459198, -3.276597261428833, -8.440174102783203, 0.7460712194442749, -8.859824180603027, 0.7711262702941895, -2.3238983154296875, -4.672589302062988, -5.55887508392334]",3403.7052364571323,0.08858257739881875
The Conet Project,Numbers Stations,m3b,"[-255.6209259033203, 190.29244995117188, 17.616825103759766, -11.569107055664062, -26.07149887084961, 5.418762683868408, -11.058661460876465, -17.71102523803711, -28.754268646240234, -10.240476608276367, -4.417532444000244, -0.743723452091217, 1.6601239442825317, 3.77160382270813, 12.75076675415039, 7.269611358642578, 9.918856620788574, 1.4195500612258911, 3.0015249252319336, -4.936035633087158]",1105.8838425328065,0.02580874655063904
The Shamblers,,Monster Truck,"[-258.0265197753906, 146.11065673828125, -3.9533731937408447, 35.867374420166016, 1.009342074394226, 10.549034118652344, -14.60852336883545, 6.006772518157959, -2.4753053188323975, -1.625257968902588, -3.18538761138916, 3.0726358890533447, 3.5660409927368164, -2.702846050262451, -2.1101491451263428, -3.5190296173095703, -6.515799045562744, -3.8668630123138428, -0.5987306237220764, -5.4030866622924805]",2350.700217672295,0.0388111732063323
The Pets,Pop-Punk,Full Set,"[-129.6156463623047, 136.25657653808594, -66.62899780273438, 39.59760665893555, -7.2031145095825195, 26.330102920532227, -12.77248764038086, 6.220480918884277, 0.3450163006782532, 4.9397759437561035, -5.644881725311279, 3.6972973346710205, -3.1227171421051025, -1.964896559715271, -3.5755770206451416, -2.7163445949554443, -5.805678367614746, -6.114315509796143, -4.807260036468506, -4.665139675140381]",3101.0439313724314,0.08848329480538343
High Places,Electronic,From Stardust to Sentience,"[-174.4776153564453, 160.8621826171875, -17.545618057250977, 38.50821304321289, -2.170525550842285, 7.147266387939453, 9.294212341308594, -0.003766660112887621, 3.4071271419525146, -3.327199697494507, 7.864046096801758, 10.023627281188965, 3.2704780101776123, -0.8148494958877563, -4.455733299255371, -1.0576092004776, 1.3136557340621948, -2.2055492401123047, -3.0105490684509277, -1.8834962844848633]",2082.5743757398304,0.035247295091876206
The Embrooks,Rock,Master,"[-188.06288146972656, 153.8378448486328, -30.79376792907715, 32.714393615722656, -6.420539379119873, 22.483959197998047, -0.49237293004989624, 8.154727935791016, -3.9775280952453613, 5.786322116851807, -9.938218116760254, 1.6928083896636963, 3.146268606185913, 5.420834064483643, 4.527047634124756, 1.989759922027588, -3.2501895427703857, -4.559065818786621, -1.256111979484558, 2.06563138961792]",2385.419907528321,0.05017887904980658
The Conet Project,Numbers Stations,1-10 announcement female,"[-201.50636291503906, 231.12771606445312, -44.2930908203125, -49.28762435913086, 15.161057472229004, -10.39984130859375, -22.53507423400879, -4.875758171081543, -6.232820510864258, -9.173233032226562, -6.732962131500244, -6.464564800262451, -4.390603065490723, -5.254954814910889, -6.18289852142334, -2.4804224967956543, -2.309940814971924, -4.348520755767822, -2.6800217628479004, -1.6806137561798096]",1263.584456770075,0.04472633556835786
The Shamblers,,Dont Freak Out Terry,"[-176.27001953125, 155.59214782714844, -26.128278732299805, 23.148193359375, 5.0078277587890625, 9.812681198120117, -19.70220947265625, 5.842899799346924, -5.135195255279541, 0.09432858228683472, -7.885932922363281, 3.7709524631500244, 0.38467156887054443, -0.7644287347793579, -0.6912912130355835, -2.5351057052612305, -7.969395160675049, -2.9270520210266113, -2.722919225692749, -6.940512657165527]",2430.0976386942666,0.04900624848887814
Nightingales,Post-Punk,Dick the Do Goods,"[-191.91439819335938, 167.53408813476562, -40.222503662109375, 27.977336883544922, 4.700677871704102, 4.990664958953857, -8.164274215698242, -6.786395072937012, 4.0739569664001465, -1.0178229808807373, -0.5051379799842834, -1.0172533988952637, -0.8448176980018616, -3.775700092315674, -0.9716653227806091, -1.8298159837722778, -6.239086151123047, 0.9225979447364807, -3.5316758155822754, -10.152631759643555]",1940.0983251011378,0.050583441251936485
The Conet Project,Numbers Stations,m2,"[-232.5111846923828, 170.0435791015625, -48.05874252319336, 9.515274047851562, -1.2636278867721558, 17.977771759033203, -5.229079246520996, 16.3870906829834, 9.235562324523926, 22.8351993560791, 0.14335758984088898, -17.074010848999023, -18.289087295532227, -3.2559614181518555, 21.723337173461914, 5.719133377075195, -0.7151909470558167, -12.183834075927734, 3.705319404602051, -0.6848957538604736]",1971.4381906833914,0.07113380343483734
The Shamblers,,Bay Ridge,"[-229.86834716796875, 151.517333984375, -23.02480125427246, 26.678922653198242, 16.3060245513916, 6.583615303039551, -12.311545372009277, 2.599097490310669, 1.370035171508789, 0.04104715958237648, -4.236307621002197, 2.652804136276245, 1.2945481538772583, -1.7897179126739502, -1.7984058856964111, -3.8663651943206787, -9.006584167480469, -4.649829387664795, -1.6024880409240723, -7.078083515167236]",2361.514669340339,0.0455332666658598
Dälek,Hip-Hop,Culture for Dollars,"[-140.4969482421875, 156.8315887451172, -62.31157684326172, 43.87004852294922, 7.6458940505981445, 15.847929954528809, 11.468883514404297, 7.435858249664307, 0.7126885056495667, 9.34772777557373, 5.057652950286865, 2.468097686767578, 5.895874977111816, 5.1404805183410645, 6.700389862060547, 9.361742973327637, 1.5531902313232422, 4.669313430786133, 3.5960144996643066, 2.633632183074951]",2498.8046350375334,0.05729210741054159
Vivian Girls,Pop,Wild Eyes (live @ WFMU),"[-168.65257263183594, 179.4562530517578, -52.15092468261719, 36.97217559814453, -3.480945348739624, 13.364253997802734, -12.993635177612305, 0.38586947321891785, 0.7673734426498413, 0.8078421354293823, 1.4357919692993164, -1.740696907043457, -0.9964604377746582, 2.7711355686187744, 0.9012511968612671, -4.253674507141113, -5.478170871734619, -2.535956859588623, 0.6020606160163879, -3.6193974018096924]",2047.7039152709547,0.05290986880325329
Hank IV,Rock,Sorry 'Bout the Boat Race,"[-107.35950469970703, 198.86001586914062, -59.033424377441406, 20.074710845947266, -0.673255443572998, 13.032844543457031, -11.664176940917969, 2.366900682449341, 2.9562816619873047, 4.219794750213623, 4.020150184631348, -5.59779167175293, 5.887696743011475, 0.935725748538971, -8.52747631072998, 1.6148699522018433, -2.2241625785827637, -0.014025099575519562, 0.22182834148406982, 0.7258236408233643]",1787.859701910648,0.045800025689071565
Negative Approach,Hardcore,Pressure/Fair Warning,"[-132.4535675048828, 152.10556030273438, -25.962154388427734, 24.922203063964844, 1.0813149213790894, 8.722615242004395, -10.055418014526367, -0.4751708507537842, -2.2063889503479004, 0.9438118934631348, -3.0175251960754395, -0.1962432861328125, -2.2862491607666016, 2.3297712802886963, -1.7697330713272095, -1.5684136152267456, -5.519500255584717, -0.657737135887146, -1.428092360496521, -2.055154323577881]",2885.062967100214,0.06100489869771495
The Conet Project,Radio,the lincolnshire poacher mi5,"[-193.1345672607422, 157.6642303466797, -76.25254821777344, -0.6095585823059082, -5.01373291015625, -5.315588474273682, -17.97698211669922, -2.030736207962036, -24.360496520996094, 5.588784217834473, -10.519906997680664, -17.597841262817383, 6.212889671325684, -6.4078192710876465, -4.453417778015137, -3.372112989425659, 1.4038095474243164, -4.778958320617676, 1.9071831703186035, -7.371960163116455]",2492.016634200815,0.08925063467117988
Polka Madre,Misc. International,Nina Olga Vodka,"[-210.97030639648438, 164.45425415039062, -27.70198631286621, 53.174686431884766, 9.833869934082031, 13.797815322875977, -6.401970386505127, 13.90672779083252, 1.110551357269287, 0.8266427516937256, -0.02927727811038494, 0.740829586982727, 1.3875195980072021, 1.5076560974121094, 1.0078208446502686, -1.6141873598098755, -1.6580049991607666, -1.2447458505630493, -0.4519323408603668, -3.804948568344116]",1919.711789566881,0.036814895128143135
Sic Alps,Rock,Mater,"[-170.416748046875, 194.8294219970703, -42.6997184753418, 31.92841148376465, 14.853557586669922, 9.1598539352417, -3.0499014854431152, 12.444674491882324, -1.1227811574935913, -5.153010368347168, 4.498199462890625, 1.4028849601745605, -8.20093059539795, -3.067636013031006, 0.19790935516357422, -1.4475446939468384, -5.503401756286621, -5.574389934539795, -6.8254804611206055, -9.059386253356934]",1646.4909353561918,0.03192323053834237
Hank IV,Rock,Celebrity Virgin,"[-93.51422882080078, 170.2469940185547, -40.68863296508789, 39.00959014892578, -9.54750919342041, 14.676843643188477, -7.587689399719238, 3.9092700481414795, -3.170742988586426, 5.874393463134766, -2.588268518447876, 1.152729868888855, 2.956850528717041, 0.6247810125350952, -3.7770791053771973, 1.5642882585525513, -0.0963875949382782, -1.8351787328720093, 0.4093951880931854, -2.2968716621398926]",2300.6744555900164,0.05304470402062355
The Conet Project,Numbers Stations,english man version 3,"[-291.5349426269531, 176.17892456054688, -28.500913619995117, 0.3565105199813843, 15.647008895874023, 5.4632792472839355, 0.70576411485672, -5.956676483154297, -2.275252103805542, 14.142269134521484, 13.408504486083984, 2.8188133239746094, -6.860466480255127, -6.098891735076904, 2.9671833515167236, -0.24661730229854584, -3.975205898284912, -0.7084012031555176, 4.034990310668945, 5.339748382568359]",1732.1558836029617,0.04933342612316034
The Spunk Lads,Punk,Spunk Lads Full Session 11-08,"[-304.52227783203125, 129.9754180908203, -10.647041320800781, 10.651257514953613, 20.70193099975586, 9.271992683410645, -10.427645683288574, 1.450002670288086, 3.6096079349517822, -1.7261805534362793, -2.771644353866577, 4.882294654846191, -0.592107892036438, -1.0170502662658691, 0.7231498956680298, -0.664727509021759, -4.911962032318115, -0.3234223425388336, -0.645576000213623, -2.444984197616577]",2323.328536074968,0.04931262405596437
Low,Indie-Rock,Canada,"[-191.03555297851562, 188.10572814941406, -10.128286361694336, 47.270931243896484, 12.43889045715332, 12.075931549072266, -2.8689355850219727, 9.21566390991211, -9.19588565826416, 14.83171558380127, -0.8103238940238953, -3.5458312034606934, 5.902650833129883, -2.759295701980591, 7.280699729919434, 1.560813307762146, -2.363145112991333, -0.3263227641582489, -7.649238586425781, 5.598200798034668]",1701.3847620312374,0.028538291827853
The Rebel,Rock,Turtle V. Octopus,"[-151.9573516845703, 145.75144958496094, -17.6107177734375, 51.397743225097656, -16.18846893310547, 23.218284606933594, -17.982593536376953, 11.140613555908203, -16.968042373657227, 4.557801723480225, -10.397061347961426, 0.9940114617347717, -6.090076446533203, -0.23889611661434174, -5.9181365966796875, -5.688767910003662, -2.129467248916626, -5.263972282409668, 0.6470880508422852, -5.039595603942871]",2769.6454416232987,0.04817323810273044
Sux,Punk,Magic Fairy Poof Dust,"[-149.9307403564453, 163.48074340820312, -42.95452880859375, 52.536170959472656, -10.447173118591309, 15.339425086975098, -10.279778480529785, 2.8961126804351807, 6.055843353271484, 4.421988010406494, 3.4578773975372314, 0.42454689741134644, -2.062429666519165, -3.169147491455078, -4.221096992492676, 0.7132456302642822, -0.9779819250106812, -3.5448877811431885, -0.307522177696228, -2.4162774085998535]",2346.1341115898604,0.05629514476547389
Le Volume Courbe,Pop,The Mind is a Horse,"[-230.43283081054688, 229.195068359375, -39.37560272216797, 15.524900436401367, 6.500166416168213, 0.9835342764854431, 9.772439002990723, 6.29869270324707, -9.248291015625, -14.438288688659668, 0.7086076140403748, -4.321057319641113, -6.865099906921387, -0.2973218560218811, 1.9713083505630493, -7.537277698516846, -1.7576066255569458, 8.492064476013184, 4.536081314086914, 0.837020993232727]",1200.6259282808114,0.03596545575435203
The Embrooks,Rock,Emilia Brurrows,"[-148.47813415527344, 161.812744140625, -56.23350524902344, 32.25338363647461, -11.26984977722168, 21.406770706176758, -7.070384979248047, 3.238966464996338, -7.887044906616211, 7.283746242523193, -10.811964988708496, 1.9272541999816895, 0.4336109459400177, 2.4329423904418945, 1.8187179565429688, 1.4513709545135498, -2.994722604751587, -5.478357315063477, -2.0047523975372314, -2.033486843109131]",2463.0065103182324,0.062116107305383424
ST37,,Whistling in Hell,"[-86.67974090576172, 168.38987731933594, -96.8843765258789, 49.10618591308594, -9.260334968566895, 17.41243553161621, -8.674788475036621, -4.937115669250488, -0.9041621088981628, 6.43499231338501, -5.951784133911133, 2.5475542545318604, 0.17990463972091675, -7.130673885345459, -1.5664846897125244, -7.0340352058410645, -9.355484008789062, 2.026125431060791, 1.2539314031600952, -9.06554889678955]",2732.7226061711394,0.09786824197569713
The Snow,Indie,Fools Gold,"[-258.9482421875, 166.25839233398438, -11.858105659484863, 45.2763671875, 11.558083534240723, 18.17609977722168, -8.812592506408691, 6.419641971588135, 1.8570258617401123, -6.19413948059082, -0.773021936416626, 2.0867297649383545, -4.498652935028076, -3.856213092803955, -2.483337640762329, -5.64736795425415, -3.2838211059570312, -0.5987884998321533, -3.081148147583008, -6.258720874786377]",1729.06474241093,0.031067887357184354
The Conet Project,Numbers Stations,spanish lady 00000 ending,"[-243.3463134765625, 193.42877197265625, -22.416362762451172, 15.138651847839355, 30.892004013061523, -6.923581600189209, 11.595866203308105, 5.351301670074463, -8.024425506591797, 7.30916690826416, -2.249498128890991, -5.501681804656982, 4.471292495727539, -9.146734237670898, -4.323246002197266, 10.935219764709473, -4.697122097015381, -5.17094087600708, 10.195505142211914, -1.7911149263381958]",1386.001493902631,0.03554468132745933
Peter Walker,Psych-Folk,Alegrias Variation,"[-369.8178405761719, 157.5402069091797, 11.781353950500488, 30.399879455566406, 11.710457801818848, 5.904847145080566, 7.485513687133789, 8.454503059387207, 1.5024187564849854, -5.63101863861084, -11.353479385375977, -9.638287544250488, -10.579618453979492, -11.214073181152344, -8.144594192504883, -10.513505935668945, -12.34797477722168, -6.629716873168945, 1.174086332321167, 1.2337663173675537]",1330.0466354279072,0.02555118169729207
